diocese ID,root no,1895,1894,1893,1892,1891,1890,1889,1888,1887,1886,1885,1884,1883,a,1881,1880,1879,1878,1877,1876,1875,1874,1873,1872,1871,1870,1869,1868,1867,1866,1865,1864,TIME GAP (Civil War),1861,1860,1859,1858,1857,1856,1855,1854,1853,1852,1851,1850,1849,1848,1847,1846,1845,1844,1843,1842,1841,1840,1839,1838,1837,1836,1835,1834,1833
boi.id,19,Boise City,Boise City,Vicariate-Apostolic Idaho,Vicariate-Apostolic Idaho,Vicariate-Apostolic Idaho,Vicariate-Apostolic Idaho,Vicariate-Apostolic Idaho,Vicariate-Apostolic Idaho,Vicariate-Apostolic Idaho,VAIdaho,VAIdaho,VAIdaho,VAIdaho,VAIdaho,VAIdaho,VAIdaho,VAIdaho,VAIdaho,VAIdaho,VAIdaho,VAIdaho,VAIdaho,VAIdaho,VAIdaho,VAIdaho,,VAIdaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buf.ny,20,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo (204),Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo (105),Buffalo (107),Buffalo (106),,Buffalo (134),Buffalo (151),Buffalo (148),Buffalo (62),Buffalo (204),Buffalo (134),Buffalo (227),Buffalo (187),Buffalo (157),Buffalo (168),Buffalo (167),Buffalo (126),Buffalo (210),Buffalo (188),,,,,,,,,,,,,,,
bur.vt,21,Burlington,Burlington,Burlington,Burlington,Burlington,Burlington,Burlington,Burlington,Burlington,Burlington,Burlington,Burlington,Burlington,Burlington,Burlington,Burlington,Burlington,Burlington,Burlington,Burlington,Burlington,Burlington,Burlington,Burlington,Burlington,Burlington,Burlington,Burlington,Burlington,Burlington (116),Burlington (106),Burlington (110),,Burlington (140),Burlington (158),Burlington (156),Burlington (45),Burlington (242),Burlington (156),Burlington (126),Burlington (198),,,,,,,,,,,,,,,,,,,,,
cha.sc,22,Charleston,Charleston,Charleston,Charleston,Charleston,Charleston,Charleston,Charleston,Charleston,Charleston,Charleston,Charleston,Charleston,Charleston,Charleston,Charleston,Charleston,Charleston,Charleston,Charleston,Charleston,Charleston,Charleston,Charleston,Charleston,Charleston,Charleston,Charleston,Charleston,ERROR: No data printed in almanac due to Civil War,Charleston (62),Charleston (61),,Charleston (79),Charleston (87),Charleston (82),Charleston (92),Charleston (214),Charleston (214),Charleston (158),Charleston (74),Charleston (154),Charleston (90),Charleston (115),Charleston (148),Charleston (101),Charleston (108),Charleston (153),Charleston (153),Charleston (150),Charleston (115),Charleston (100),Charleston (131),Charleston (167),Charleston (128),Charleston (171),Charleston (128),Charleston (163),Charleston (79),Charleston (47),Charleston (47),Charleston
che.wy,23,Cheyenne,Cheyenne,Cheyenne,Cheyenne,Cheyenne,Cheyenne,Cheyenne,Cheyenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cle.oh,24,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland,Cleveland (123),Cleveland (131),Cleveland (126),,Cleveland (87),Cleveland (96),Cleveland (93),Cleveland (108),Cleveland (86),Cleveland (149),Cleveland (104),Cleveland (106),Cleveland (123),Cleveland (105),Cleveland (81),Cleveland (163),Cleveland (153),Cleveland (154),,,,,,,,,,,,,,,
col.oh,25,Columbus,Columbus,Columbus,Columbus,Columbus,Columbus,Columbus,Columbus,Columbus,Columbus,Columbus,Columbus,Columbus,Columbus,Columbus,Columbus,Columbus,Columbus,Columbus,Columbus,Columbus,Columbus,Columbus,Columbus,Columbus,Columbus,Columbus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
col.wa,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colville (188),Colville (191),Colville (251),,,,,,,,,,,,,,,,
con.ks,27,Concordia,Concordia,Concordia,Concordia,Concordia,Concordia,Concordia,Concordia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cov.ky,28,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington,Covington (120),Covington(135),Covington (130),,Covington (90),Covington (99),Covington (95),Covington (110),Covington (218),Covington (198),Covington (165),Covington (120),,,,,,,,,,,,,,,,,,,,,
