diocese ID,root no,1895,1894,1893,1892,1891,1890,1889,1888,1887,1886,1885,1884,1883,a,1881,1880,1879,1878,1877,1876,1875,1874,1873,1872,1871,1870,1869,1868,1867,1866,1865,1864,TIME GAP (Civil War),1861,1860,1859,1858,1857,1856,1855,1854,1853,1852,1851,1850,1849,1848,1847,1846,1845,1844,1843,1842,1841,1840,1839,1838,1837,1836,1835,1834,1833
nat.ms,57,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches,Natchitoches (207),Natchitoches (199),,Natchitoches (119),Natchitoches (134),Natchitoches (129),Natchitoches (161),Natchitoches (94),Natchitoches (152),Natchitoches (112),Natchitoches (142),,,,,,,,,,,,,,,,,,,,,
nes.wa,58,Nesqually,Nesqually,Nesqually,Nesqually,Nesqually,Nesqually,Nesqually,Nesqually,Nesqually,Nesqually,Nesqually,Nesqually,Nesqually,Nesqually,Nesqually,Nesqually,Nesqually,Nesqually,Nesqually,Nesqually,Nesqualy,Nesqualy,Nesqualy,Nesqualy,Nesqualy,Nesqualy,Nesqualy,Nesqualy,Nesqualy (238),Nesqualy (175),Nesqualy (202),Nesqualy (194),,Nesqualy (152),Nesqualy (172),Nesqualy (166),Nesqualy (171),Nesqualy (203),Nesqualy (225),Nesqualy (239),Nesqualy (232),Nesqualy (205),Nesqualy (198),,,,,,,,,,,,,,,,,,,
new.nj,59,Newark,Newark,Newark,Newark,Newark,Newark,Newark,Newark,Newark,Newark,Newark,Newark,Newark,Newark,Newark,Newark,Newark,Newark,Newark,Newark,Newark,Newark,Newark,Newark,Newark,Newark,Newark,Newark,Newark,Newark (112),Newark (116),Newark (115),,Newark (144),Newark (163),Newark (161),Newark (67),Newark (89),Newark (166),Newark (127),Newark,,,,,,,,,,,,,,,,,,,,,
ogd.ny,60,Ogdensburg,Ogdensburg,Ogdensburg,Ogdensburg,Ogdensburg,Ogdensburg,Ogdensburg,Ogdensburg,Ogdensburg,Ogdensburg,Ogdensburg,Ogdensburg,Ogdensburg,Ogdensburg,Ogdensburg,Ogdensburg,Ogdensburg,Ogdensburg,Ogdensburg,Ogdensburg,Ogdensburg,Ogdensburg,Ogdensburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oma.ne,61,Omaha,Omaha,Omaha,Omaha,Omaha,Omaha,Omaha,Omaha,Omaha,Omaha,VANebraska,VANebraska,VANebraska,VANebraska,VANebraska,VANebraska,VANebraska,VANebraska,VANebraska,VANebraska,VANebraska,VANebraska,VANebraska,VANebraska,VANebraska,VANebraska,VANebraska,VANebraska,VANebraska,VANebraska ,VANebraska (193),VANebraska (187),,VANebraska (185),VANebraska (211),Vicariate of Nebraska (202),,,,,,,,,,,,,,,,,,,,,,,,,,
peo.il,62,Peoria,Peoria,Peoria,Peoria,Peoria,Peoria,Peoria,Peoria,Peoria,Peoria,Peoria,Peoria,Peoria,Peoria,Peoria,Peoria,Peoria,Peoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pit.pa,63,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh and Allegheny,Pittsburgh and Allegheny,Pittsburgh and Allegheny,Pittsburgh and Allegheny,Pittsburgh and Allegheny,Pittsburgh and Allegheny,Pittsburgh and Allegheny,Pittsburgh and Allegheny,Pittsburgh and Allegheny,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh (211),Pittsburgh (79),Pittsburgh (75),,Pittsburgh (68),Pittsburgh (74),Pittsburg (71),Pittsburgh (84),Pittsburg (169),Pittsburg (233),Pittsburg (121),Pittsburg (89),Pittsburg (127),Pittsburg (86),Pittsburg (124),Pittsburg (92),Pittsburg (236),Pittsburg (213),Pittsburg (179),Pittsburg (170),Pittsburg (81),Pittsburg (84),,,,,,,,,,,
por.me,64,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland (118),Portland (122),Portland (118),,Portland (145),Portland (166),Portland (163),Portland (43),Portland (168),Portland (168),Portland (195),Portland (197),,,,,,,,,,,,,,,,,,,,,
pro.ri,65,Providence,Providence,Providence,Providence,Providence,Providence,Providence,Providence,Providence,Providence,Providence,Providence,Providence,Providence,Providence,Providence,Providence,Providence,Providence,Providence,Providence,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ric.va,66,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,ERROR: No data printed in almanac due to Civil War,Richmond (83),Richmond (80),,Richmond (72),Richmond (79),Richmond (76),Richmond (90),Richmond (135),Richmond (256),Richmond (235),Richmond (234),Richmond (150),Richmond (184),Richmond (120),Richmond (173),Richmond (246),Richmond (105),Richmond (176),Richmond (157),Richmond (140),Richmond (120),Richmond (108),Richmond (135),Richmond (99),Richmond (79),Richmond (98),,,,,,
roc.ny,67,Rochester,Rochester,Rochester,Rochester,Rochester,Rochester,Rochester,Rochester,Rochester,Rochester,Rochester,Rochester,Rochester,Rochester,Rochester,Rochester,Rochester,Rochester,Rochester,Rochester,Rochester,Rochester,Rochester,Rochester,Rochester,Rochester,Rochester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salt.ut,68,Salt Lake,Salt Lake,Salt Lake,Salt Lake,Vicariate-Apostolic Utah Territory,Vicariate-Apostolic Utah Territory,Vicariate-Apostolic Utah Territory,Vicariate-Apostolic Utah,Vicariate-Apostolic of Utah Territory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sana.tx,69,San Antonio,San Antonio,San Antonio,San Antonio,San Antonio,San Antonio,San Antonio,San Antonio,San Antonio,San Antonio,San Antonio,San Antonio,San Antonio,San Antonio,San Antonio,San Antonio,San Antonio,San Antonio,San Antonio,San Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sav.ga,70,Savannah,Savannah,Savannah,Savannah,Savannah,Savannah,Savannah,Savannah,Savannah,Savannah,Savannah,Savannah,Savannah,Savannah,Savannah,Savannah,Savannah,Savannah,Savannah,Savannah,Savannah,Savannah,Savannah,Savannah,Savannah,Savannah,Savannah,Savannah,Savannah,ERROR: No data printed in almanac due to Civil War,ERROR: No data printed in almanac due to Civil War,Savannah (81),,Savannah (74),Savannah (81),Savannah (78),Savannah (94),Savannah (75),Savannah (79),Savannah (232),Savannah (191),Savannah (151),Savannah (93),Savannah (118),,,,,,,,,,,,,,,,,,
scr.pa,71,Scranton,Scranton,Scranton,Scranton,Scranton,Scranton,Scranton,Scranton,Scranton,Scranton,Scranton,Scranton,Scranton,Scranton,Scranton,Scranton,Scranton,Scranton,Scranton (275),Scranton,Scranton,Scranton,Scranton,Scranton,Scranton,Scranton,Scranton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sio.sd,72,Sioux Falls,Sioux Falls,Sioux Falls,Sioux Falls,Sioux Falls,Sioux Falls,Vicariate-Apostolic Dakota,Vicariate-Apostolic Dakota,Vicariate-Apostolic Dakota,Vicariate Apostolic of Dakota,Vicariate Apostolic of Dakota,Vicariate Apostolic of Dakota,Vicariate Apostolic of Dakota,Vicariate Apostolic of Dakota,Vicariate Apostolic of Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spr.ma,73,Springfield,Springfield,Springfield,Springfield,Springfield,Springfield,Springfield,Springfield,Springfield,Springfield,Springfield,Springfield,Springfield,Springfield,Springfield,Springfield,Springfield,Springfield,Springfield,Springfield,Springfield,Springfield,Springfield,Springfield,Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sta.fl,74,St. Augustine,St. Augustine,St. Augustine,St. Augustine,St. Augustine,St. Augustine,St. Augustine,St. Augustine,St. Augustine,St. Augustine,St. Augustine,St. Augustine,St. Augustine,St. Augustine,St. Augustine,St. Augustine,St. Augustine,St. Augustine,St. Augustine,St. Augustine,St. Augustine,St. Augustine,St. Augustine,St. Augustine,St. Augustine,VAFlorida,VAFlorida,VAFlorida,VAFlorida (94),VAFlorida (94),VAFlorida (88),VAFlorida (84),,VAFlorida (78),VAFlorida (85),Vicariate of Florida (84),Vicariate of Florida (96),,,,,,,,,,,,,,,,,,,,,,,,,
stc.mn,75,St. Cloud,St. Cloud,St. Cloud,St. Cloud,St. Cloud,St. Cloud,Vicariate-Apostolic Northern Minnesota,Vicariate-Apostolic Northern Minnesota,Vicariate-Apostolic Northern Minnesota,Vicariate Apostolic of Northern Minnesota,Vicariate Apostolic of Northern Minnesota,Vicariate Apostolic of Northern Minnesota,Vicariate Apostolic of Northern Minnesota,Vicariate Apostolic of Northern Minnesota,Vicariate Apostolic of Northern Minnesota,Vicariate Apostolic of Northern Minnesota,Vicariate Apostolic of Northern Minnesota,Vicariate Apostolic of Northern Minnesota,Vicariate Apostolic of North Minnesota,Vicariate Apostolic of North Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stj.mo,76,St. Joseph,St. Joseph,St. Joseph,St. Joseph,St. Joseph,St. Joseph,St. Joseph,St. Joseph,St. Joseph,St. Joseph,St. Joseph,St. Joseph,St. Joseph,St. Joseph,St. Joseph,St. Joseph,St. Joseph,St. Joseph,St. Joseph,St. Joseph,St. Joseph,St. Joseph,St. Joseph,St. Joseph,St. Joseph,St. Joseph,St. Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
syr.ny,77,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,Syracuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tre.nj,78,Trenton,Trenton,Trenton,Trenton,Trenton,Trenton,Trenton,Trenton,Trenton,Trenton,Trenton,Trenton,Trenton,Trenton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wal.wa,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walla Walla,Walla Walla,Walla Walla (188),Walla Walla (191),Walla Walla (251),,Walla Walla (192),,,,,,,,,,,,,,
vin.in,80,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes,Vincennes (188),Vincennes (153),Vincennes (148),,Vincennes (195),Vincennes (116),Vincennes (112),Vincennes (112),Vincennes (230),Vincennes (179),Vincennes (96),Vincennes (122),Vincennes (104),Vincennes (120),Vincennes (89),Vincennes (108),Vincennes (180),Vincennes (208),Vincennes  (112),Vincennes (115),Vincennes (104),Vincennes (137),Vincennes (77),Vincennes (103),Vincennes (131),Vincennes (99),Vincennes (130),Vincennes (100),Vincennes (121),Vincennes (73),Vincennes (64),,
whe.va,81,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling,Wheeling (216),Wheeling (85),Wheeling (81),,Wheeling (75),Wheeling (83),Wheeling (80),Wheeling (91),Wheeling (124),Wheeling (195),Wheeling (77),Wheeling (128),Wheeling (136),Wheeling (185),Wheeling (122),,,,,,,,,,,,,,,,,,
wic.ks,82,Wichita,Wichita,Wichita,Wichita,Wichita,Wichita,Wichita,Wichita,Wichita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wil.de,83,Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,Wilmington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
win.mn,84,Winona,Winona,Winona,Winona,Winona,Winona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jun.ak,85,Vicariate-Apostolic Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuc.az,86,Vicariate-Apostolic Arizona,Vicariate-Apostolic Arizona,Vicariate-Apostolic Arizona,Vicariate-Apostolic Arizona,Vicariate-Apostolic Arizona,Vicariate-Apostolic Arizona,Vicariate-Apostolic Arizona,Vicariate-Apostolic Arizona,Vicariate-Apostolic Arizona,Vicariate Apostolic of Arizona,Vicariate Apostolic of Arizona,Vicariate Apostolic of Arizona,Vicariate Apostolic of Arizona,Vicariate Apostolic of Arizona,Vicariate Apostolic of Arizona,Vicariate Apostolic of Arizona,Vicariate Apostolic of Arizona,Vicariate Apostolic of Arizona,Vicariate Apostolic of Arizona,Vicariate Apostolic of Arizona,Vicariate Apostolic of Arizona,Vicariate Apostolic of Arizona,Vicariate Apostolic of Arizona,Vicariate Apostolic of Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bro.tx,87,Vicariate-Apostolic Brownsville,Vicariate-Apostolic Brownsville,Vicariate-Apostolic Brownsville,Vicariate-Apostolic Brownsville,Vicariate-Apostolic Brownsville,Vicariate-Apostolic Brownsville,Vicariate-Apostolic Brownsville,Vicariate-Apostolic Brownsville,Vicariate-Apostolic Brownsville,Vicariate Apostolic of Brownsville,Vicariate Apostolic of Brownsville,Vicariate Apostolic of Brownsville,Vicariate Apostolic of Brownsville,Vicariate Apostolic of Brownsville,Vicariate Apostolic of Brownsville,Vicariate Apostolic of Brownsville,Vicariate Apostolic of Brownsville,Vicariate Apostolic of Brownsville,Vicariate Apostolic of Brownsville,Vicariate Apostolic of Brownsville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ral.nc,88,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,Vicariate-Apostolic North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
okl.ok,89,Vicariate-Apostolic Indian Territory,Vicariate-Apostolic Indian Territory,Vicariate-Apostolic Indian Territory,Vicariate-Apostolic Indian Territory,Vicariate-Apostolic Indian Territory,Vicariate-Apostolic Indian Territory,Vicariate-Apostolic Indian Territory,Vicariate-Apostolic Indian Territory,Vicariate-Apostolic Indian Territory,Prefecture Ap. of Indian Territory,Prefecture Ap. of Indian Territory,Prefecture Ap. of Indian Territory,Prefecture Ap. of Indian Territory,Prefecture Ap. of Indian Territory,Prefecture Ap. of Indian Territory,Prefecture Ap. of Indian Territory,Prefecture Ap. of Indian Territory,Prefecture Ap. of Indian Territory,,,,,,,,,,,,,,,,,,,Vicariate of Indian Territory (150),Apostolic Vicariate of Indian Territory (254),Apostolic Vicariate of Indian Territory (157),Apostolic Vicariate of Indian Territory (81),Apostolic Vicariate of Indian Territory (229),Apostolic Vicariate of Indian Territory (139),Apostolic Vicariate of Indian Territory (158),Apostolic Vicariate of Indian Territory (135),,,,,,,,,,,,,,,,,,
