instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,courses,Unnamed: 32,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lou.ky.0038,﻿church,﻿St. Michael's,English,﻿Mass at 11,,,﻿Nelson County,﻿Nelson County,﻿Fairfield,﻿Fairfield,﻿KY,﻿KY,37.931782,-85.382918,,,,﻿jam_elliott_001,﻿Rev.,﻿J. Elliott,,,,,,,,1835,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0045,﻿church,not recorded,English,,,,,,﻿Hendersonville,﻿Henderson,﻿KY,﻿KY,37.838954,-87.586712,,,,,﻿-,﻿-,,,,,,,,1835,"﻿Church site says that there was not a formal building until later; however it implies that these was still a catholic community in Hendersonv. Also, it seems that Hendersonville was the early version of Henderson, which started as a settlement but grew as tobacco production in the county grew: https://holynameparish.net/parish-history ; https://en.wikipedia.org/wiki/Henderson,_Kentucky",,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9005,﻿church,﻿Holy Cross,English,,,,﻿Washington County,,,,﻿KY,,37.673056,-85.448056,,,,﻿dav_a_deparcq_901,﻿Rev.,﻿D. Debarcq,,,,,,,,1835,﻿https://www.archlou.org/parishes/holy-cross-marion-county/,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9014,﻿convent,not recorded,English,﻿Here is a Convent of the Jesuits,,,,,﻿Lebanon,,﻿KY,,,,,,,﻿pet_chazelle_901,﻿Rev. Messr.,﻿Chazelle,,,,,,,,1835,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9014,﻿convent,not recorded,English,﻿Here is a Convent of the Jesuits,,,,,﻿Lebanon,,﻿KY,,,,,,,﻿lew_petit_901,﻿Rev. Messr.,﻿Petit,,,,,,,,1835,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9014,﻿convent,not recorded,English,﻿Here is a Convent of the Jesuits,,,,,﻿Lebanon,,﻿KY,,,,,,,﻿gouet_901,﻿Rev. Messr.,﻿Gouet,,,,,,,,1835,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9014,﻿convent,not recorded,English,﻿Here is a Convent of the Jesuits,,,,,﻿Lebanon,,﻿KY,,,,,,,﻿sim_fouché_001,﻿Rev. Messr.,﻿Fouché,,,,,,,,1835,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9014,﻿convent,not recorded,English,﻿Here is a Convent of the Jesuits,,,,,﻿Lebanon,,﻿KY,,,,,,,﻿f_x_evremond_901,﻿Rev. Messr.,﻿Evremont,,,,,,,,1835,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9014,﻿convent,not recorded,English,﻿Here is a Convent of the Jesuits,,,,,﻿Lebanon,,﻿KY,,,,,,,﻿wal_s_coomes_001,﻿Rev. Messr.,﻿Coomes,,,,,,,,1835,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿cov.ky.0028,﻿church,﻿St. Peter's,English,﻿Mass at 11,,,﻿Fayette County,﻿Fayette County,﻿Lexington,﻿Lexington,﻿KY,,38.046734,-84.494593,,,,﻿edw_mcmahon_901,﻿Rev.,﻿E. McMahon,,,,,,,,1835,﻿https://www.stpeterlex.org/about-us/our-history,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0048,﻿church,not recorded,English,,,,,﻿Marion County,﻿Loretto,﻿Loretto,﻿KY,﻿KY,37.672859,-85.447846,,,,﻿guy_i_chabrat_901,﻿Right Rev. Dr.,﻿Chabrat,,﻿Sup. of the Convent,,,,,,1835,﻿http://sfahc.com/holy-cross,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0016,﻿church,﻿St. Louis,English,﻿Mass at 11,,,﻿Jefferson County,﻿Jefferson County,﻿Louisville,﻿Louisville,﻿KY,﻿KY,38.236908,-85.763639,,,,﻿rob_a_abell_001,﻿Rev.,﻿Robert A. Abell,,,,,,,,1835,﻿https://www.stlb.org/,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0059,﻿church,not recorded,English,,,,﻿Union County,﻿Union County,﻿Morganfield,﻿Morganfield,﻿KY,﻿KY,37.682563,-87.921595,,,,﻿eli_j_durbin_001,﻿Rev.,﻿Elisha Durbin,,,,,,,,1835,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0059,﻿church,not recorded,English,,,,﻿Union County,﻿Union County,﻿Morganfield,﻿Morganfield,﻿KY,,37.682563,-87.921595,,,,﻿edw_a_clarke_901,﻿Rev.,﻿Edward Clark,,,,,,,,1835,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9008,﻿church,﻿St. Benedict,English,,,,﻿Nelson County,,,,﻿KY,,,,,,,﻿wal_s_coomes_001,﻿Rev.,﻿Walter Coomes,,,,,,,,1835,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9009,﻿church,﻿St. Charles's,English,,,,﻿Washington County,,,,﻿KY,,37.59577,-85.343147,,,,﻿f_x_evremond_901,﻿Rev.,﻿F. X. Evremont,,,,,,,,1835,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿church,﻿St. Joseph's,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.81071,-85.471369,,,,,,,,,,,,,,1835,﻿https://stjosephbasilica.org/history,,,﻿,﻿,﻿Bardstown,Bardstown
﻿cov.ky.0056,﻿church,﻿St. Pius,English,,,,﻿Scott County,,﻿Frankfort,,﻿KY,,38.207553,-84.697121,,,,﻿g_w_hayden_901,﻿Rev.,﻿G. Hayden,,,,,,,,1835,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0089,﻿church,﻿St. Rose,English,﻿Here is a convent of Dominicans,,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,﻿KY,37.69318504,-85.26238897,,,,﻿miles_901,﻿Rev. Messr.,﻿Miles,,,,,,,,1835,﻿https://strosespringfield.org/about/history/,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0089,﻿church,﻿St. Rose,English,﻿Here is a convent of Dominicans,,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,,37.69318504,-85.26238897,,,,﻿jos_t_jarboe_001,﻿Rev. Messr.,﻿Jarboe,,,,,,,,1835,,,,﻿,﻿,﻿Bardstown,Bardstown
