instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persRole,persSuffix,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.686616,-105.936468,,,,﻿j_b_lamy_001,﻿Rt. Rev.,﻿J. B. Lamy,,﻿D.D.,,,,,,1869,﻿,﻿,﻿Santa Fé,SantaFe
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.686616,-105.936468,,,,﻿pet_eguillon_001,﻿Very Rev.,﻿Peter Eguillon,﻿Rector,,,,,,,1869,﻿,﻿,﻿Santa Fé,SantaFe
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.686616,-105.936468,,,,﻿p_bernal_001,﻿Rev.,﻿P. Bernal,﻿Assistant,,,,,,,1869,﻿,﻿,﻿Santa Fé,SantaFe
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.686616,-105.936468,,,,﻿a_fourchaigu_001,﻿Rev.,﻿A. Fourchaign,﻿Assistant,,,,,,,1869,﻿,﻿,﻿Santa Fé,SantaFe
﻿san.nm.0002,﻿chapel,﻿Chapel of N. Sen. del Rosario,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.694414,-105.947463,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1869,﻿,﻿,﻿Santa Fé,SantaFe
﻿san.nm.0003,﻿chapel,﻿Chapel of Na. Senora de Guadelupe,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.68691,-105.944978,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1869,﻿,﻿,﻿Santa Fé,SantaFe
﻿san.nm.0004,﻿chapel,﻿Chapel of San Miguel,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.683511,-105.937693,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1869,﻿,﻿,﻿Santa Fé,SantaFe
﻿san.nm.0005,﻿chapel,﻿Chapel of Na. Sra. de la Luz,English,﻿two chapels,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.674809,-105.915497,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1869,﻿,﻿,﻿Santa Fé,SantaFe
﻿san.nm.0200,﻿chapel,﻿Chapel of Na. Sra. de la Luz,English,﻿two chapels,,﻿Santa Fé,,,,,﻿NM,,35.541607,-105.584027,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1869,﻿,﻿,﻿Santa Fé,SantaFe
﻿san.nm.0006,﻿chapel,﻿Chapel of San Isidro,English,,,﻿Santa Fé,,,﻿Aguafria,﻿Aguafria,﻿NM,,35.658339,-106.01428,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1869,﻿,﻿,﻿Santa Fé,SantaFe
﻿san.nm.0007,﻿chapel,﻿Chapel of San José,English,,,﻿Santa Fé,,,﻿Cienega,﻿Cienega,﻿NM,,35.563995,-106.122801,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1869,﻿,﻿,﻿Santa Fé,SantaFe
﻿san.nm.0008,﻿chapel,﻿Chapel of N. Sen. de los Remedios,English,,,﻿Santa Fé,,,﻿Galisteo,﻿Galisteo,﻿NM,,35.395378,-105.94695,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1869,﻿,﻿,﻿Santa Fé,SantaFe
﻿san.nm.0009,﻿chapel,﻿Chapel of N. Sen. de los Angeles,English,,,﻿Santa Fé,,,﻿Pecos,﻿Pecos,﻿NM,,35.549994,-105.689158,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1869,﻿,﻿,﻿Santa Fé,SantaFe
﻿san.nm.0010,﻿chapel,﻿Chapel of San Isidro,English,,,﻿Santa Fé,,,﻿Rio Tesuque,﻿Tesuque,﻿NM,,35.757876,-105.924082,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1869,﻿,﻿,﻿Santa Fé,SantaFe
﻿san.nm.0011,﻿chapel,﻿Chapel of San Diego,English,﻿Pueblo Indians,,﻿Santa Fé,,,﻿Tesque,﻿Tesuque Pueblo,﻿NM,,35.82501,-105.978414,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1869,﻿,﻿,﻿Santa Fé,SantaFe
﻿san.nm.0012,﻿church,﻿Parish Church of Santo Tomas,English,,,﻿Abiquiu,,,﻿Abiquiu,﻿Abiquiu,﻿NM,,36.207357,-106.319055,,,,﻿j_valesy_001,﻿Rev.,﻿J. Valesy,,,,,,,,1869,﻿,﻿,﻿Santa Fé,SantaFe
﻿san.nm.0012,﻿church,﻿Parish Church of Santo Tomas,English,,,﻿Abiquiu,,,﻿Abiquiu,﻿Abiquiu,﻿NM,,36.207357,-106.319055,,,,﻿e_parisis_001,﻿Rev.,﻿E. Parisis,﻿Assistant,,,,,,,1869,﻿,﻿,﻿Santa Fé,SantaFe
﻿san.nm.0013,﻿chapel,﻿Santa Rosa's Chapel,English,,,﻿Abiquiu,,,,,﻿NM,,36.209999,-106.290624,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1869,﻿,﻿,﻿Santa Fé,SantaFe
﻿san.nm.0014,﻿chapel,﻿Chapel of N. Sen. de Guadalupe,English,,,﻿Abiquiu,,,﻿El Rito,﻿El Rito,﻿NM,,36.344236,-106.188487,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1869,﻿,﻿,﻿Santa Fé,SantaFe
