instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿har.pa.0041,﻿church,﻿St. John,English,﻿once a month,,,,﻿Centre County,﻿Bellefonte,﻿Bellefonte,﻿PA,﻿PA,40.91081367,-77.77627962,,,,﻿pat_leavy_901,﻿Rev.,﻿Patrick Leavy,,,"﻿""Dw. at Huntingdon""",,,,,1833,﻿http://bellefontecatholicchurch.org/,,﻿,﻿,Philadelphia,Philadelphia
﻿pit.pa.0019,﻿church,﻿S. S. Simon & Jude,English,﻿Twice a month,,,,﻿Indiana County,﻿Blairsville,﻿Blairsville,﻿PA,﻿PA,40.43263075,-79.25841066,,,,﻿jam_a_stillinger_001,﻿Rev.,﻿James A. Stillinger,,,,,,,,1833,"﻿https://www.sssimonandjude.org/bulletins/ ; info is really limited but the church site mentions, in a header or two, that the church was established in 1830",,﻿,﻿,Philadelphia,Philadelphia
﻿pit.pa.0026,﻿church,﻿St. Peter's,English,,,,,﻿Fayette County,﻿Brownsville,﻿Brownsville,﻿PA,﻿PA,40.0226438,-79.87755123,,,,﻿#REF!,,,,,﻿Vacant,,,,,1833,﻿https://www.stpeterstcecilia.org/,,﻿,﻿,Philadelphia,Philadelphia
﻿pit.pa.0046,﻿church,not recorded,English,﻿twice a month,﻿Buffaloe Creek,,﻿Armstrong County,,,﻿Freeport,﻿PA,﻿PA,40.67408336,-79.68331684,,,,﻿pat_oneill_901,﻿Rev.,﻿Patrick O'Neill,,,,,,,,1833,"﻿There are two churches listed in the almanac for the Buffalo Creek area. One of them is not named, and just says 'Buffaloe Creek,' the other is called 'B.V. Nativity' here. I suspect that the Buffaloe Creek entry is referring to something further up the creek, back into the woods north of Freeport, where the church St. Mary's is. Based on the church history given on the St. Mary's (freeport) site, I'm inclined to think that the B.V. Nativity means Blessed Virgin of the Nativity (i.e., Mary). For that reason I'm leaving this Buffaloe Creek entry empty and giving the ID to the church explicity named later on.",,﻿,﻿,Philadelphia,Philadelphia
﻿pit.pa.0027,﻿church,﻿St. Peter's,English,﻿occasionally,,,,﻿Butler County,﻿Butler,﻿Butler,﻿PA,﻿PA,40.862318,-79.890779,,,,﻿pat_oneill_901,﻿Rev.,﻿Patrick O'Neill,,,,,,,,1833,﻿https://diopitt.org/saint-peter-butler,,﻿,﻿,Philadelphia,Philadelphia
﻿pit.pa.0029,﻿church,﻿St. Patrick's,English,﻿5th Sunday only,,,﻿Indiana County,﻿Indiana County,﻿Cameron's Bottom,﻿Heilwood,﻿PA,﻿PA,40.59448682,-78.91594783,,,,﻿jam_bradley_901,﻿Rev.,﻿James Bradley,,,﻿Dw. at Ebensburg,,,,,1833,﻿https://www.churchresurrection.org/about/history/ ; https://sites.rootsweb.com/~treasures/pa/indiana/pine-township-indiana-count/camerons-bottomsst-patricks/ ; https://www.heilwood.com/town/churches/roman-catholic-church/,,﻿,﻿,Philadelphia,Philadelphia
﻿scr.pa.0020,﻿church,not recorded,English,﻿Twice a month,,,,﻿Lackawanna County,﻿Carbondale,﻿Carbondale,﻿PA,﻿PA,41.57188219,-75.5011599,,,,﻿w_clancey_901,﻿Rev.,﻿William J. Clancey,,,,,,,,1833,﻿https://www.olorcarbondale.org/our-lady-of-the-rosary-parish-carbondale-pa,,﻿,﻿,Philadelphia,Philadelphia
﻿har.pa.0038,﻿church,﻿St. Patrick's,English,﻿Twice a month,,,,﻿Cumberland County,﻿Carlisle,﻿Carlisle,﻿PA,﻿PA,40.17501599,-77.20259339,,,,﻿pat_j_dwen_901,﻿Rev.,﻿P. I. Dwen,,,,,,,,1833,﻿https://www.saintpatrickchurch.org/,,﻿,﻿,Philadelphia,Philadelphia
﻿phi.pa.9000,﻿church,﻿St. Peter's,English,﻿twice a month,,,,﻿Franklin County,﻿Chambersburg,﻿Chambersburg,﻿PA,﻿PA,39.937591,-77.661102,,,,﻿fer_mccosker_901,﻿Rev.,﻿Ferdinand McCosker,,,,,,,,1833,"﻿http://www.borough.chambersburg.pa.us/government/about-chambersburg.html#:~:text=Chambersburg%2C%20the%20county%20seat%20of,small%20and%20medium%20industrial%20enterprises.",,﻿,﻿,Philadelphia,Philadelphia
﻿erie.pa.0015,﻿church,﻿St. Francis of Assissium,English,﻿once a month,,,,﻿Clearfield County,﻿Clearfield,﻿Clearfield,﻿PA,﻿PA,41.01913824,-78.43912405,,,,﻿pat_leavy_901,﻿Rev.,﻿Patrick Leavy,,,,,,,,1833,﻿https://www.eriercd.org/Parish20708-St-Francis-of-Assisi.html,,﻿,﻿,Philadelphia,Philadelphia
