instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,courses,Unnamed: 32,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,﻿OH,﻿39.103623,﻿-84.509143,,,,﻿joh_b_purcell_001,﻿Right. Rev.,﻿John B. Purcell,﻿D.D.,,,,,,,1835,﻿https://en.wikipedia.org/wiki/Cathedral_Basilica_of_St._Peter_in_Chains,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿39.103623,﻿-84.509143,,,,﻿s_h_montgomery_901,﻿Rev.,﻿S. H. Montgomery,,,,,,,,1835,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿39.103623,﻿-84.509143,,,,﻿den_a_deloughry_901,﻿Rev.,﻿Dennis A. Deloughry,,,,,,,,1835,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0005,﻿church,﻿Holy Trinity,﻿German,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,﻿OH,﻿#REF!,﻿#REF!,,,,﻿joh_m_henni_001,﻿Rev.,﻿J. M. Henni,,,,,,,,1835,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0005,﻿church,﻿Holy Trinity,﻿German,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿sam_mazzuchelli_901,﻿Rev.,﻿S. Mazzuchelli,,,,,,,,1835,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cle.oh.9004,﻿station,not recorded,English,,,,,﻿Montgomery County,﻿Dayton,,﻿OH,,,,,﻿attended by Rev. E.T. Collins,,﻿edw_t_collins_901,﻿Rev.,﻿E. T. Collins,,,,,,,,1835,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0094,﻿station,not recorded,English,,,,,﻿Butler County,﻿Hamilton,﻿Hamilton,﻿OH,﻿OH,﻿39.401817,﻿-84.560244,,﻿attended by Rev. E.T. Collins,,﻿edw_t_collins_901,﻿Rev.,﻿E. T. Collins,,,,,,,,1835,﻿https://en.wikipedia.org/wiki/St._Stephen_Church_and_Rectory,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0174,﻿station,not recorded,English,,,,,﻿Champaign County,﻿Urbana,,﻿OH,,﻿#REF!,﻿#REF!,,﻿attended by Rev. E.T. Collins,,﻿edw_t_collins_901,﻿Rev.,﻿E. T. Collins,,,,,,,,1835,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9019,﻿station,not recorded,English,,,,,﻿Clark County,﻿Springfield,,﻿OH,,,,,﻿attended by Rev. E.T. Collins,,﻿edw_t_collins_901,﻿Rev.,﻿E. T. Collins,,,,,,,,1835,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0182,﻿station,not recorded,English,,,,,﻿Logan County,﻿West Liberty,,﻿OH,,﻿#REF!,﻿#REF!,,﻿attended by Rev. E.T. Collins,,﻿edw_t_collins_901,﻿Rev.,﻿E. T. Collins,,,,,,,,1835,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿col.oh.0040,﻿church,not recorded,English,,,,,﻿Fairfield County,﻿Lancaster,﻿Lancaster,﻿OH,﻿OH,﻿39.712793,﻿-82.598978,﻿col.oh.0066,"﻿Clergyman from St. Joseph's, Perry Co.",﻿every 3d Sunday,,,,,,"﻿Dw. at St. Joseph's, Somerset",,,,,1835,﻿https://stmarylancaster.org/2018/our-parish/,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cle.oh.9000,﻿church,﻿St. Paul's,English,,,,,﻿Columbiana County,﻿New Lisbon,﻿Lisbon,﻿OH,﻿OH,﻿40.773562,﻿-80.772569,﻿cle.oh.0038,﻿attended by a clergyman from Canton,﻿2d Sunday,,,,,,﻿Dw. at Steubenville,,,,,1835,"﻿hard to say where this church was exactly, but this site claims it was near the present day catholic church in the town: https://www.lisbonvillage.org/history",,,﻿,﻿,﻿Cincinnati,Cincinnati
