instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,NOTES,courses,Unnamed: 33,Unnamed: 34,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lou.ky.0052,﻿church,not recorded,English,,,,﻿Marion County,,﻿Lebanon,,﻿KY,,,,,,,﻿rob_a_abell_001,﻿Rev.,﻿R. A. Abell,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿cov.ky.0028,﻿church,﻿St. Peter's,English,,,,﻿Fayette County,﻿Fayette County,﻿Lexington,﻿Lexington,﻿KY,,38.04673404,-84.49459291,,,,﻿edw_mcmahon_901,﻿Rev.,﻿Ed. McMahon,,,,,,,,1837,,﻿https://www.stpeterlex.org/about-us/our-history,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0016,﻿church,﻿St. Louis,English,,,,﻿Jefferson County,﻿Jefferson County,﻿Louisville,﻿Louisville,﻿KY,﻿KY,38.23690764,-85.76363854,,,,﻿ign_a_reynolds_901,﻿Rev.,﻿Ign. A. Reynolds,,,,,,,,1837,,﻿https://www.stlb.org/,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0016,﻿church,﻿St. Louis,English,,,,﻿Jefferson County,﻿Jefferson County,﻿Louisville,﻿Louisville,﻿KY,,38.23690764,-85.76363854,,,,﻿g_w_hayden_901,﻿Rev.,﻿G. W. Hayden,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0016,﻿church,﻿St. Louis,English,,,,﻿Jefferson County,﻿Jefferson County,﻿Louisville,﻿Louisville,﻿KY,,38.23690764,-85.76363854,,,,﻿edw_a_clarke_901,﻿Rev.,﻿Ed. A. Clark,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0016,﻿church,﻿St. Louis,English,,,,﻿Jefferson County,﻿Jefferson County,﻿Louisville,﻿Louisville,﻿KY,,38.23690764,-85.76363854,,,,﻿joh_w_mcgill_001,﻿Rev.,﻿J. W. McGill,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0059,﻿church,not recorded,English,,,,﻿Union County,﻿Union County,﻿Morganfield,﻿Morganfield,﻿KY,﻿KY,37.68256297,-87.9215952,,,,﻿eli_j_durbin_001,﻿Rev.,﻿Elisha J. Durbin,,,"﻿visits Tennessee, twice during the year",,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0059,﻿church,not recorded,English,,,,﻿Union County,﻿Union County,﻿Morganfield,﻿Morganfield,﻿KY,,37.68256297,-87.9215952,,,,﻿f_fort_901,﻿Rev.,﻿F. Fort,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9018,﻿church,not recorded,English,,﻿Rudis Creek,,,,,,﻿KY,,,,,,﻿[visited] once a month [by] A. Degaquier,﻿aug_degauquier_001,﻿Rev.,﻿A. Degauquier,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9020,﻿church,not recorded,English,,﻿Cliffey's Creek,,,,,,﻿KY,,,,,,﻿[visited] once a month [by] A. Degaquier,﻿aug_degauquier_001,﻿Rev.,﻿A. Degauquier,,,,,,,,1837,,"﻿There's is an area below Louisville that has some places called ""cliffs creek"" (campgrounds, creeks, etc.). For that reason, I placed this unknown in Louisville.",,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0048,﻿church,﻿St. Charles' Church,English,,,,,﻿Marion County,,﻿Loretto,﻿KY,﻿KY,37.6728593,-85.44784585,,,,﻿f_x_evremond_901,﻿Rev.,﻿F. X. Evermond,,,﻿dwelling at S. Mary's Seminary,,,,,1837,,﻿http://sfahc.com/holy-cross,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0048,﻿church,﻿St. Charles' Church,English,,,,,﻿Marion County,,﻿Loretto,﻿KY,,37.6728593,-85.44784585,,,,﻿lew_petit_901,﻿Rev.,﻿Lewis Petit,,,﻿dwelling at S. Mary's Seminary,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿cov.ky.0056,﻿church,﻿St. Pius' Church,English,,,,﻿Scott County,,,,﻿KY,,,,,,,﻿j_a_drew_901,﻿Rev.,﻿J. A. Drew,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0091,﻿church,﻿St. Thomas' Church,English,,,,,,,﻿Bardstown,﻿KY,﻿KY,37.76659691,-85.48401476,,,,﻿a_a_aud_001,﻿Rev.,﻿A. A. Aud.,,,,,,,,1837,,﻿https://www.saintthomasbardstown.org/ ; https://ia801606.us.archive.org/13/items/historicaltribut00howl/historicaltribut00howl.pdf,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0102,﻿church,not recorded,English,,,,﻿Spencer County,﻿Spencer County,﻿Taylorsville,﻿Taylorsville,﻿KY,﻿KY,38.03301885,-85.34467741,,,,﻿jam_elliott_001,﻿Rev.,﻿J. Elliott,,,﻿of Fairfield,,,,,1837,,﻿https://www.allsaintstville.org/history,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿nash.tn.9000,﻿church,not recorded,English,,,,,,﻿Nashville,,﻿TN,,36.16652078,-86.78395778,,,﻿visited semi-annually by Rev.  E. J. Durbin,﻿eli_j_durbin_001,﻿rev.,﻿E. J. Durbin,,,"﻿dw.[elling] at Morganfield, KY",,,,,1837,,"﻿https://www.hmdb.org/m.asp?m=36240 ; https://en.wikipedia.org/wiki/Cathedral_of_the_Incarnation_(Nashville,_Tennessee)",,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0106,﻿seminary,﻿St. Thomas' Diocesan Seminary,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,﻿KY,37.766944,-85.483333,,,,﻿wal_s_coomes_001,﻿Rev.,﻿Walter S. Coomes,,﻿President,,,,,,1837,,﻿https://en.wikipedia.org/wiki/St._Thomas_Church_and_Howard%E2%80%93Flaget_House,"﻿Reading, Writing, Arithmetic, English Grammar, Geography, Book-keeping, Surveying, Mathematics, Latin, Greek and French","﻿Reading, Writing, Arithmetic, English Grammar, Geography, Book-keeping, Surveying, Mathematics, Latin, Greek and French",﻿by the Right Rev. Bishop of Bardstown in 1811,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0089_92,﻿convent,not recorded,English,﻿convent of Dominicans,﻿St. Rose,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,﻿KY,37.69344761,-85.26339642,,,,﻿miles_901,﻿Rev. Messr.,﻿F. Miles,,﻿Prior,,,,﻿[under the direction of] the Dominicans,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0089_92,﻿convent,not recorded,English,﻿convent of Dominicans,﻿St. Rose,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,,37.69344761,-85.26339642,,,,﻿polin_901,﻿Rev. Messr.,﻿F. F. Polin,,,,,,﻿[under the direction of] the Dominicans,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0089_92,﻿convent,not recorded,English,﻿convent of Dominicans,﻿St. Rose,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,,37.69344761,-85.26339642,,,,﻿s_l_montgomery_901,﻿Rev. Messr.,﻿Montgomery,,,,,,﻿[under the direction of] the Dominicans,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0089_92,﻿convent,not recorded,English,﻿convent of Dominicans,﻿St. Rose,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,,37.69344761,-85.26339642,,,,﻿bowling_901,﻿Rev. Messr.,﻿Bowling,,,,,,﻿[under the direction of] the Dominicans,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0089_92,﻿convent,not recorded,English,﻿convent of Dominicans,﻿St. Rose,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,,37.69344761,-85.26339642,,,,﻿clarkson_901,﻿Rev. Messr.,﻿Clarkson,,,,,,﻿[under the direction of] the Dominicans,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0105,﻿college,﻿St. Joseph's College,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,﻿KY,37.81142142,-85.47126817,,,,﻿geo_a_elder_901,﻿Rev.,﻿George A. M. Elder,,﻿President,,,,﻿conducted by Roman Catholic clergymen,,1837,,"﻿No longer an active institution, now a whiskey museum. Here is info on its history: https://www.jesuits.org/our-work/shmr/what-we-have-learned/st-josephs-college-bardstown-kentucky/ ; https://en.wikipedia.org/wiki/Spalding_Hall","﻿The branches actually taught, are the languages, viz: Latin, Greek, French and Spanish, Mathematics, Latin and English Versification: Rhetoric, including composition and elocution, Mental Philosophy, Natural Philosophy, including the elements of Chemistry, Pneumatics, Electricity, Experimental Philosophy, History and Geography, with the use of the maps and globes, are taught with particular attention.","﻿The branches actually taught, are the languages, viz: Latin, Greek, French and Spanish, Mathematics, Latin and English Versification: Rhetoric, including composition and elocution, Mental Philosophy, Natural Philosophy, including the elements of Chemistry, Pneumatics, Electricity, Experimental Philosophy, History and Geography, with the use of the maps and globes, are taught with particular attention.",,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0105,﻿college,﻿St. Joseph's College,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.81142142,-85.47126817,,,,﻿jam_m_lancaster_001,﻿Rev.,﻿J. M. Lancaster,,﻿Vice President,,,,﻿conducted by Roman Catholic clergymen,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
