instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,courses,Unnamed: 32,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stl.mo.0115,﻿church,﻿St. James,English,﻿once a month,,,,﻿Washington County,﻿Potosi Mines,﻿Potosi,﻿MO,﻿MO,37.93719,-90.786322,,,,﻿joh_bouillier_901,﻿Rev.,﻿J. Bouillier,,,﻿Dw. at Old Mines,,,,,1835,﻿https://www.mindat.org/photo-1373569.html ; https://www.stjames-potosi.org/our-parish/parish-history,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9003,﻿church,﻿St. Ann,English,,,,﻿St. Genevive County,,,,﻿MO,,37.924184,-90.554101,,,﻿occasionally,﻿f_x_dahmen_901,﻿Rev.,﻿F. X. Dahmen,,,,,,,,1835,"﻿There are too many in later years to say definitively which one this refers to. For that reason, I am leaving it as a generic 9000 ID.",,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9004,﻿church,﻿St. Charles,﻿French and English,﻿Service 3 Sundays in the month,,,,,,,﻿MO,,38.786216,-90.480364,,,,﻿cha_van-quickenborne_901,﻿Rev.,﻿Charles Vanquickenborne,,,,,,,,1835,"﻿As above, I don't think that there is any clear case for this being one specific place that shows up later in the 1860s/1870s diocese.",,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0136,﻿church,﻿St. Genevieve,"﻿French, German, and sometimes English",,,,,﻿Sainte Genevieve County,﻿St. Genevieve,﻿St. Genevieve,﻿MO,﻿MO,37.979125,-90.04695,,,,﻿f_x_dahmen_901,﻿Rev.,﻿F. X. Dahmen,,,,,,,,1835,﻿https://www.stegenevieveparish.com/,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0037,﻿church,﻿St. Joseph's,﻿English,,﻿Apple Creek settlement,,,﻿Perry County,,﻿Apple Creek,﻿MO,﻿MO,37.613393,-89.751423,,,,﻿reg_loisel_901,﻿Rev.,﻿Regis Loisel,,,,,,,,1835,﻿https://www.archstl.org/parish/st-joseph-apple-creek/,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0135,﻿church,﻿St. Paul's,English,,,,﻿Ralls County,﻿Ralls County,﻿Salt River,﻿Center,﻿MO,﻿MO,39.502497,-91.606182,,,,﻿p_lefevre_901,﻿Rev.,﻿P. Lefevre,,,﻿visits several other counties,,,,,1835,"﻿Source says the present church was built in 1860, but it stands to reason that if the record goes back this far, another structure stood here before the one still standing. Same name, same location: https://en.wikipedia.org/wiki/St._Paul_Catholic_Church_(Center,_Missouri)",,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9005,﻿church,﻿St. Mary's,English,,,,﻿Perry County,﻿Perry County,,﻿Perryville,﻿MO,﻿MO,37.726997,-89.889811,,,,﻿joh_brands_901,﻿Rev.,﻿John Brands,,,"﻿The Rev. gentlemen of the Seminary in this place, attend several stations in the lower counties.",,,,,1835,,,,﻿,﻿,﻿St. Louis,StLouis
﻿alt.il.0020,﻿church,﻿Church of the Good Shepherd,﻿French,,,,﻿St. Clair's County,﻿St. Clair County,﻿Cahokias,﻿Cahokia Heights,﻿IL,﻿IL,38.570082,-90.18928,,,,﻿p_doutreluigne_001,﻿Rev.,﻿Peter Doutreluigne,,,﻿officiates here every Sunday,,,,,1835,,,,﻿,﻿,﻿St. Louis,StLouis
﻿alt.il.0091,﻿church,not recorded,﻿English,﻿Church not yet finished: service once a month,﻿English Settlement,,﻿Monroe County,﻿St. Clair County,﻿Prairie du Long,﻿Prairie Du Long Township,﻿IL,﻿IL,,,,,,﻿vit_van-cloostere_901,﻿Rev.,﻿V. Van Cloostere,,,,,,,,1835,,,,﻿,﻿,﻿St. Louis,StLouis
﻿alt.il.9001,﻿church,not recorded,English,﻿Church not yet finished.,﻿French Village,,,,,,﻿IL,,,,,,,﻿p_doutreluigne_001,﻿Rev.,﻿P. Doutreluigne,,,﻿Will be served [when church is completed],,,,,1835,﻿https://stclair-ilgs.org/1881french-village/,,,﻿,﻿,﻿St. Louis,StLouis
