instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stl.mo.0136,﻿church,not recorded,"﻿French, German, and English",,,,,﻿Sainte Genevieve County,﻿St. Genevieve,﻿St. Genevieve,﻿MO,﻿MO,37.97912503,-90.04695014,,,,﻿f_x_dahmen_901,﻿Rev.,﻿F. X. Dahmen,,,,,,,,1833,﻿https://www.stegenevieveparish.com/,,,﻿,﻿,StLouis,StLouis
﻿stl.mo.0037,﻿church,﻿St. Joseph's,﻿English,,﻿Apple Creek settlement,,,﻿Perry County,,﻿Apple Creek,﻿MO,﻿MO,37.61339343,-89.75142333,,,,﻿#REF!,﻿Rev.,﻿Peter F. Beauprez,,,,,,,,1833,﻿https://www.archstl.org/parish/st-joseph-apple-creek/,,,﻿,﻿,StLouis,StLouis
﻿stl.mo.9005,﻿church,﻿St. Mary's,English,,,,﻿Perry County,﻿Perry County,,﻿Perryville,﻿MO,﻿MO,37.72699742,-89.88981118,﻿attended by the Clergymen of the Seminary,,,﻿#REF!,,,,,,,,,,1833,,,,﻿,﻿,StLouis,StLouis
﻿stl.mo.0135,﻿church,﻿St. Paul's Church,English,,,,﻿Ralls County,﻿Ralls County,﻿Salt River,﻿Center,﻿MO,﻿MO,39.50249701,-91.60618174,,,,﻿p_lefevre_901,﻿Rev.,﻿P. Lefevre,,,,,,,,1833,"﻿Source says the present church was built in 1860, but it stands to reason that if the record goes back this far, another structure stood here before the one still standing. Same name, same location: https://en.wikipedia.org/wiki/St._Paul_Catholic_Church_(Center,_Missouri)",,,﻿,﻿,StLouis,StLouis
﻿stl.mo.9006,﻿seminary,﻿St. Mary's Seminary,English,﻿Diocesan Clerical Seminary,,,﻿Perry County,﻿Perry County,﻿Barrens,﻿Perryville,﻿MO,﻿MO,37.72702392,-89.88984099,,,,﻿jb_tornatore_901,﻿Very Rev.,﻿J.B. Tornatore,,﻿Superior,,,,﻿under the care of the Priests of the Congregation of the Mission instituted by St. Vincent of Paul,,1833,"﻿https://en.wikipedia.org/wiki/St._Mary%27s_of_the_Barrens_Catholic_Church_(Perryville,_Missouri) ; St. Mary of the Barrens (Perry County, Missouri) - Missouri Life TV Season 5 - YouTube",,,﻿,﻿,StLouis,StLouis
﻿stl.mo.9007,﻿college,﻿St. Mary's College,English,,,,﻿Perry County,﻿Perry County,﻿Barrens,﻿Perryville,﻿MO,﻿MO,37.72702392,-89.88984099,,,,﻿joh_odin_901,﻿Rev.,﻿J. Odin,,﻿President,,,,,,1833,"﻿https://en.wikipedia.org/wiki/St._Mary%27s_of_the_Barrens_Catholic_Church_(Perryville,_Missouri) ; St. Mary of the Barrens (Perry County, Missouri) - Missouri Life TV Season 5 - YouTube",,﻿incorporated by the General Assembly of the State of Missouri,﻿,﻿,StLouis,StLouis
﻿stl.mo.0148,﻿college,﻿St. Louis College,English,,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,﻿MO,38.63642647,-90.2342251,,,,﻿pet_j_verhaegen_001,﻿Rev.,﻿Peter. J. Verhaegen,,﻿President,,,,﻿conducted by the Fathers of the Society of Jesus,,1833,﻿https://www.slu.edu/timeline/index.php,"﻿Latin, Greek, French, and English, writing, arithmetic, mathematics, geography, and natural philosophy",,﻿,﻿,StLouis,StLouis
﻿stl.mo.0150,﻿convent,﻿Convent of the Ladies of the Sacred Heart,English,﻿founded by the munificence of John Mullanphy,,,,,﻿St. Louis,,﻿MO,,38.615628,-90.194069,,,,﻿#REF!,,﻿Madame Dochesne,,﻿Superior,,﻿orphan,﻿12 orphans,,,1833,﻿https://cdm17210.contentdm.oclc.org/digital/collection/maps_mo/id/7/rec/22,,,﻿,﻿,StLouis,StLouis
﻿stl.mo.0150_02,﻿academy,﻿Young Ladies' Academy,English,﻿at the Convent of the Sacred Heart,﻿Mississippi River,,,,﻿St. Louis,,﻿MO,,38.615628,-90.194069,,,,﻿#REF!,,,,,,,,,,1833,﻿https://babel.hathitrust.org/cgi/pt?id=nyp.33433068290331&seq=577,"﻿reading, writing, grammar, arithmetic, sacred and profane history, geography, mythology, poetry, rhetoric, natural philosophy, domestic economy, sewing, marking, lace, muslin, tapestry and bead work, painting (on velvet, on satin, in water colors and crayons), shell and chenille work, artificial flower making, filagree, hair work, chrystallized parlor ornaments, music (vocal and instrumental)",,﻿,﻿,StLouis,StLouis
﻿stl.mo.0062_02&_03,﻿convent and academy,﻿Convent and Female Academy of the Ladies of the Sacred Heart,English,﻿here is the novitiate of the Ladies of the Sacred Heart,﻿at St. Ferdinand,,,﻿St. Louis County,﻿Florissant,﻿Florissant,﻿MO,﻿MO,38.79522382,-90.32720227,,,,,,﻿Madame Meffry,,﻿Superior,,,,﻿Ladies of the Sacred Heart,,1833,,,,﻿,﻿,StLouis,StLouis
