instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,temp,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stp.mn.0079,﻿church,﻿SS. Peter and Paul,English,,,,﻿Hennepin County,﻿Hennepin County,,,,,45.053827,-93.633498,﻿stp.mn.0070,﻿Visited from St. Anthony,,,,,,,,,,,,1869,20.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0080,﻿church,﻿St. Boniface,English,,,,﻿Hennepin County,﻿Hennepin County,,,,,44.905057,-93.747777,﻿stp.mn.0019,"﻿Visited by Rev. F. Stern, of Waconia",,,,,,,,,,,,1869,21.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0081,﻿station,not recorded,English,,,,﻿Hennepin County,﻿Hennepin County,﻿Maple Grove,,,,45.072464,-93.455788,﻿stp.mn.0073,﻿Visited by Rev. Prosper Maurer,,,,,,,,,,,,1869,22.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0082,﻿station,not recorded,English,,,,﻿Hennepin County,﻿Hennepin County,﻿Cahiltown,,,,44.910693,-93.349751,﻿stp.mn.0072,﻿Visited by Rev. Jas. McGolrick,,,,,,,,,,,,1869,23.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0008,﻿church,﻿Church of St. Stephen,English,,,,﻿Anoka County,﻿Anoka County,﻿Anoka,,,,45.199199,-93.38274,﻿stp.mn.0073,"﻿Visited by Rev. Prosper Maurer, of Dayton",,,,,,,,,,,,1869,24.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0009,﻿church,﻿Church of St. Genevieve,English,,,,﻿Anoka County,﻿Anoka County,﻿Centreville,,,,45.163548,-93.058028,﻿stp.mn.0007,"﻿Visited by Rev. Joseph Goiffon, of Little Canada",,,,,,,,,,,,1869,25.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0010,﻿station,not recorded,English,,,,﻿Anoka County,﻿Anoka County,﻿St. Francis,,,,45.397485,-93.387922,﻿stp.mn.0073,﻿Visited by Rev. Prosper Maurer,,,,,,,,,,,,1869,26.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0032,﻿church,﻿Church of Guardian Angels,English,,,,﻿Dakota County,﻿Dakota County,﻿Hastings,,,,44.741982,-92.850532,,﻿,,﻿fra_hurth_001,﻿Rev.,﻿Francis Hurth,,,,,,,,1869,27.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0033,﻿church,﻿Church of St. Peter,English,,,,﻿Dakota County,﻿Dakota County,﻿Mendota,,,,44.885716,-93.168317,,﻿,,﻿c_genis_001,﻿Rev.,﻿C. Genis,,,,,,,,1869,28.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0034,﻿church,﻿Church of St. John,English,,,,﻿Dakota County,﻿Dakota County,﻿Burnsville,,,,44.767742,-93.277723,,﻿,,﻿a_oster_001,﻿Rev.,﻿A. Oster,,,,,,,,1869,29.0,﻿,﻿,﻿St. Paul,StPaul
