instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,NOTES,sources,Unnamed: 33,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stl.mo.0136,﻿church,﻿St. Genevieve,"﻿French, German, and sometimes English",,,,,﻿Sainte Genevieve County,﻿St. Genevieve,﻿St. Genevieve,﻿MO,﻿MO,37.97912503,-90.04695014,,,,﻿f_x_dahmen_901,﻿Rev.,﻿F. X. Dahmen,,,,,,,,1836,﻿https://www.stegenevieveparish.com/,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0037,﻿church,﻿St. Joseph,﻿English,,﻿Apple Creek settlement,,,﻿Perry County,,﻿Apple Creek,﻿MO,﻿MO,37.61339343,-89.75142333,,,,﻿reg_loisel_901,﻿Rev.,﻿R. Loisel,,,,,,,,1836,﻿https://www.archstl.org/parish/st-joseph-apple-creek/,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0135,﻿church,﻿St. Paul,English,,,,﻿Ralls County,﻿Ralls County,﻿Salt River,﻿Center,﻿MO,﻿MO,39.50249701,-91.60618174,,,,﻿p_lefevre_901,﻿Rev.,﻿P. Lefevre,,,"﻿also visits the following counties: Pike, Lincoln, Monroe, Marion, Lewis, Clarke and Shelby",,,,,1836,"﻿Source says the present church was built in 1860, but it stands to reason that if the record goes back this far, another structure stood here before the one still standing. Same name, same location: https://en.wikipedia.org/wiki/St._Paul_Catholic_Church_(Center,_Missouri)",,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9005,﻿church,﻿St. Mary's,English,,,,﻿Perry County,﻿Perry County,,﻿Perryville,﻿MO,﻿MO,37.72699742,-89.88981118,,,,﻿joh_brands_901,﻿Rev.,﻿John Brands,,,"﻿The Rev. gentlemen of the Seminary in this place, attend several stations in the lower counties.",,,,,1836,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿alt.il.0020,﻿church,﻿Church of the Holy Family,﻿French,,,,﻿St. Clair's County,﻿St. Clair County,﻿Cahokias,﻿Cahokia Heights,﻿IL,﻿IL,38.5700824,-90.1892805,,,,﻿p_doutreluigne_001,﻿Rev.,﻿Peter Doutreluigne,,,,,,,,1836,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿alt.il.0091,﻿church,not recorded,﻿English,,﻿English Settlement,,﻿Monroe County,﻿St. Clair County,,﻿Prairie Du Long Township,﻿IL,﻿IL,,,,,,﻿vit_van-cloostere_901,﻿Rev.,﻿V. Van Cloostere,,,,,,,,1836,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿alt.il.9001,﻿church,not recorded,English,﻿Church to be soon erected.,﻿French Village,﻿near Cahokias,,,,,﻿IL,,,,,,﻿sometimes visited by Peter Doutreluigne,﻿p_doutreluigne_001,,﻿Peter Doutreluigne,,,﻿Will be served [when church is completed],,,,,1836,﻿https://stclair-ilgs.org/1881french-village/,,,,﻿,﻿,﻿St. Louis,StLouis
﻿alt.il.0053,﻿church,not recorded,English,,,,﻿Monroe County,,﻿Harrisonville,﻿Harrisonville,﻿IL,﻿IL,38.28670882,-90.34951975,,,﻿occasionally visited by Rev. V. Van Cloostere,﻿vit_van-cloostere_901,﻿Rev.,﻿V. Van Cloostere,,,﻿visited once a month,,,,,1836,﻿https://www.hmdb.org/m.asp?m=226556,,,,﻿,﻿,﻿St. Louis,StLouis
﻿alt.il.0059,﻿church,﻿Church of the Conception,﻿French and English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,﻿IL,37.92209896,-89.91503761,,,,﻿ben_roux_901,﻿Rev.,﻿B. Roux,,,,,,,,1836,"﻿https://en.wikipedia.org/wiki/Kaskaskia,_Illinois",,,,﻿,﻿,﻿St. Louis,StLouis
﻿alt.il.0083,﻿church,﻿St. Patrick's,English,,,,﻿Randolph County,﻿Randolph County,﻿O'Hara'sburg,﻿Ruma,﻿IL,﻿IL,38.12947755,-90.00877373,,,﻿once a month [by] Rev. V. Van Cloostere,﻿vit_van-cloostere_901,﻿Rev.,﻿V. Van Cloostere,,,,,,,,1836,,,,,﻿,﻿,﻿St. Louis,StLouis
