instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,NOTES,sources,Unnamed: 33,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stl.mo.9007,﻿college,﻿St. Mary's College,English,,,,﻿Perry County,﻿Perry County,﻿Barrens,﻿Perryville,﻿MO,﻿MO,37.72702392,-89.88984099,,,,﻿joh_m_odin_001,﻿Rev.,﻿John Odin,,﻿President,,,,,,1836,"﻿https://en.wikipedia.org/wiki/St._Mary%27s_of_the_Barrens_Catholic_Church_(Perryville,_Missouri) ; St. Mary of the Barrens (Perry County, Missouri) - Missouri Life TV Season 5 - YouTube",,,﻿incorporated by the General Assembly of the State of Missouri,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9007_2,﻿seminary,﻿St. Mary's Seminary,English,,,,﻿Perry County,﻿Perry County,﻿Barrens,﻿Perryville,﻿MO,﻿MO,37.72702392,-89.88984099,,,,﻿joh_b_tornatore_001,﻿Rev.,﻿J. B. Tornatore,,﻿Superiour,,,,,,1836,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9016,﻿novitiate,not recorded,English,,,,﻿St. Louis County,,﻿St. Stanislaus,,﻿MO,,,,,,,﻿the_de-theux_901,﻿Rev.,﻿Theodore de Theux,,﻿Superiour,,,,﻿[under the direction of] the Society of Jesus,,1836,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0150,﻿convent,﻿Convent of the Ladies of the Sacred Heart,English,﻿founded by the munificence of John Mullanphy,,,,,﻿St. Louis,,﻿MO,,38.61475839,-90.1916941,,,,,,﻿Madame Duchesne,,﻿Superiour,,﻿child,﻿12 orphans,,,1836,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0062_02&0062_03,﻿convent and academy,﻿Convent and Female Academy of the Ladies of the Sacred Heart,English,﻿here is the novitiate of the Ladies of the Sacred Heart,﻿at St. Ferdinand,,,﻿St. Louis County,﻿Florissant,﻿Florissant,﻿MO,﻿MO,38.79522382,-90.32720227,,,,,,﻿Madame Catherine Thiefry,,﻿Superiour,,,,﻿Ladies of the Sacred Heart,,1836,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9004_02&9004_03,﻿convent and academy,﻿Convent and Female Academy,English,,﻿at St. Charles,,,,,,﻿MO,,,,,,,,,﻿Madame Lucille Mathevon,,﻿Superiour,,,,﻿Ladies of the Sacred Heart,,1836,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9013&9013_02,﻿convent,﻿Convent of the Sisters of Loretto,English,,,,,﻿New Madrid County,﻿New Madrid,﻿New Madrid,﻿MO,﻿MO,36.58754291,-89.5288075,,,,﻿eul_s_relles_901,,﻿Eulalia Susan Relles,,﻿Superiour,,,,,,1836,﻿https://dioscg.org/about/find-a-church/immaculate-conception-parish-new-madrid-mo/,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9017,﻿academy,﻿Ladies' Academy,English,,,,,﻿St. Louis County,﻿Carondelet,﻿St. Louis,﻿MO,﻿MO,,,,,,﻿ang_hughes_901,﻿Sister,﻿Angela Hughes,,﻿Superiour,,,,,,1836,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9011&9011_02,﻿convent and academy,﻿Convent and Female Academy of the Sisters of Loretto,English,,﻿near St. Mary's Seminary,,﻿Perry County,﻿Perry County,﻿Bethlehem,﻿Perryville,﻿MO,﻿MO,,,,,,﻿jul_wather_901,﻿Sister,﻿Julia Wather,,﻿Superiour,,﻿child,,,,1836,﻿https://history.ky.gov/markers/bethlehem-academy,"﻿Reading, Writing, Grammar, Arithmetic, Geography, History, Paint-ing. French, Needle Work, Embroidery, Music, etc.",,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9012&9012_02,﻿convent and academy,﻿Convent and Female Academy of the Sisters of Loretto,English,,,,﻿Madison County,﻿Madison County,﻿Frederickstown,﻿Fredericktown,﻿MO,﻿MO,,,,,,﻿ben_fenwick_901,﻿Sister,﻿Benedicta Fenwick,,﻿Superiour,,,,,,1836,﻿Some history of the convent here on page 21: https://digital.library.missouri.edu/sites/default/files/2025-02/mu_417725.pdf,"﻿They will teach Reading, Writing, Grammar, Arithmetic, Geography, History, Painting, French, Needle work, Em-broidery, Music, etc.",,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9012&9012_02,﻿convent and academy,﻿Convent and Female Academy of the Sisters of Loretto,English,,,,﻿Madison County,﻿Madison County,﻿Frederickstown,﻿Fredericktown,﻿MO,,,,,,,﻿jos_rosati_901,﻿Right Rev.,﻿Rosati,,﻿Bishop,,,,,,1836,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9012&9012_02,﻿convent and academy,﻿Convent and Female Academy of the Sisters of Loretto,English,,,,﻿Madison County,﻿Madison County,﻿Frederickstown,﻿Fredericktown,﻿MO,,,,,,,﻿fra_cellini_901,﻿Rev.,﻿F. Cellini,,,,,,,,1836,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,﻿IL,,,,,,﻿mar_a_brent_901,,﻿Mary Agnes Brent,,,,,,,,1836,,"﻿English, Orthography, Reading, Writing, Arithmetic, English and French, Grammar and Composition, Geography, Sacred and Profane History, Ancient and Modern Chronology, Mythology, Poetical Composition, Rhetoric, Philosophy, Chemistry, Astronomy, Use of the Maps and Globes. Also, Music, vocal and instrumental, on the Harp, Piano and Guitar, Painting in water colours and on Velvet, plain and ornamental Needle-work, Tapestry, Lace and Bead work, &c.",,,﻿,﻿,﻿St. Louis,StLouis
