instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,courses,Unnamed: 32,Unnamed: 33,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lou.ky.9014,﻿convent,not recorded,English,﻿Jesuits,,,﻿Marion County,,﻿Lebanon,,﻿KY,,,,,,,﻿pet_chazelle_901,﻿Rev. Messr.,﻿Chazelle,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9014,﻿convent,not recorded,English,﻿Jesuits,,,﻿Marion County,,﻿Lebanon,,﻿KY,,,,,,,﻿lew_petit_901,﻿Rev. Messr.,﻿Petit,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9014,﻿convent,not recorded,English,﻿Jesuits,,,﻿Marion County,,﻿Lebanon,,﻿KY,,,,,,,﻿gouet_901,﻿Rev. Messr.,﻿Gouet,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9014,﻿convent,not recorded,English,﻿Jesuits,,,﻿Marion County,,﻿Lebanon,,﻿KY,,,,,,,﻿gilles_901,﻿Rev. Messr.,﻿Gilles,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9014,﻿convent,not recorded,English,﻿Jesuits,,,﻿Marion County,,﻿Lebanon,,﻿KY,,,,,,,﻿sim_fouché_001,﻿Rev. Messr.,﻿Fouche,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9014,﻿convent,not recorded,English,﻿Jesuits,,,﻿Marion County,,﻿Lebanon,,﻿KY,,,,,,,﻿f_x_evremond_901,﻿Rev. Messr.,﻿Evremond,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿cov.ky.0028,﻿church,﻿St. Peter's,English,,,,﻿Fayette County,﻿Fayette County,﻿Lexington,﻿Lexington,﻿KY,,38.04673404,-84.49459291,,,,﻿joh_w_mcgill_001,﻿Rev.,﻿John McGill,,,,,,,,1836,﻿https://www.stpeterlex.org/about-us/our-history,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿cov.ky.0028,﻿church,﻿St. Peter's,English,,,,﻿Fayette County,﻿Fayette County,﻿Lexington,﻿Lexington,﻿KY,,38.04673404,-84.49459291,,,,﻿edw_mcmahon_901,﻿Rev.,﻿B. McMahon,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿cov.ky.0028,﻿monastery,﻿St. Peter's,English,,,,﻿Fayette County,﻿Fayette County,﻿Loretto,﻿Lexington,﻿KY,,38.04673404,-84.49459291,,,,,﻿Rev.,﻿W. S. Coomes,,﻿Superiour of Monast,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿cov.ky.0028,﻿academy,﻿St. Peter's,English,,,,﻿Fayette County,﻿Fayette County,﻿Loretto,﻿Lexington,﻿KY,,38.04673404,-84.49459291,,,,,﻿Rev.,﻿W. S. Coomes,,﻿Superiour of Monast,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
