instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿new.la.0044,﻿church,not recorded,English,,,,,﻿Ascension Parish,﻿Donaldsonville,﻿Donaldsonville,﻿LA,﻿LA,30.10405485,-90.98368459,,,,﻿jos_tichitoli_901,﻿Rev.,﻿Joseph Tichitoli,,,,,,,,1834,﻿https://www.donaldsonvillecatholics.com/history-of-ascension-of-our-lord-church,﻿,﻿,﻿New Orleans,NewOrleans
﻿new.la.0045,﻿church,not recorded,English,,,,,﻿Pointe Coupee Parish,﻿Fausse Riviere,﻿New Roads,﻿LA,﻿LA,30.69330483,-91.43584638,,,,﻿leo_de-l-hoste_901,﻿Rev.,﻿D. De l'Hoste,,,,,,,,1834,﻿https://stmarysfr.org/st-mary-church,﻿,﻿,﻿New Orleans,NewOrleans
﻿new.la.0048,﻿church,﻿St. Charles Borromeo,English,,,,,﻿St. Landry Parish,﻿Grand Coteau,﻿Grand Coteau,﻿LA,﻿LA,30.42011404,-92.04449518,,,,﻿joh_rosti_901,﻿Rev.,﻿J. Rosti,,,,,,,,1834,﻿https://st-charles-borromeo.org/history,﻿,﻿,﻿New Orleans,NewOrleans
﻿new.la.0052,﻿church,﻿St. Gabriel's,English,,,,,﻿Iberville Parish,﻿Iberville,﻿St. Gabriel,﻿LA,﻿LA,30.25456526,-91.10210636,,,,﻿mat_b_anduze_901,﻿Rev.,﻿A. Anduze,,,,,,,,1834,﻿https://www.stgabrielcatholicchurch.com/history/st-gabriel/,﻿,﻿,﻿New Orleans,NewOrleans
﻿new.la.0056,﻿church,not recorded,English,,,,﻿Lafourche Parish,﻿Lafourche Parish,,﻿Plattenville,﻿LA,﻿LA,29.99066747,-91.02365392,,,,﻿joh_caretta_901,﻿Rev.,﻿J. Caretta,,,,,,,,1834,﻿https://sites.google.com/view/bayou-catholics/about/history-of-assumption-of-bvm?authuser=0,﻿,﻿,﻿New Orleans,NewOrleans
﻿new.la.9003,﻿church,﻿St. Francis of Assissium,English,,,,﻿Natchitoches Parish,﻿Natchitoches Parish,,,﻿LA,﻿LA,31.75373939,-93.09023546,,,,﻿e_d_hamo_901,﻿Rev.,﻿E. D. Hamo,,,,,,,,1834,"﻿This source would imply that there was a St. Francis Church here at one point; however, it seems like it was either abandoned or destroyed or changed names",﻿,﻿,﻿New Orleans,NewOrleans
﻿new.la.0063,﻿church,﻿St. Landry,English,,,,,﻿St. Landry Parish,﻿Opelousas,﻿Opelousas,﻿LA,﻿LA,30.54340651,-92.07908905,,,,﻿flav_h_rossi_901,﻿Rev.,﻿F. Rosti,,,,,,,,1834,,﻿,﻿,﻿New Orleans,NewOrleans
﻿new.la.0071,﻿church,﻿St. Francis,English,﻿W.B.,,,﻿Pointe Coupèe Parish,﻿Pointe Coupèe Parish,,﻿New Roads,﻿LA,﻿LA,30.72923499,-91.48667682,,,,﻿leo_de-l-hoste_901,﻿Rev.,﻿D. De L'hoste,,,,,,,,1834,,﻿,﻿,﻿New Orleans,NewOrleans
﻿new.la.0079,﻿church,﻿St. Bernard,English,,,,﻿St. Bernard Parish,﻿St. Bernard Parish,,,﻿LA,﻿LA,,,,,,,,,,,,,,,,1834,﻿https://stbernard-stbla.com/,﻿,﻿,﻿New Orleans,NewOrleans
﻿new.la.0047,﻿church,﻿St. Charles,English,,﻿E. bank of Miss.,,﻿St. Charles Parish,﻿St. Charles Parish,,﻿Destrehan,﻿LA,﻿LA,29.95038417,-90.37528297,,,,﻿aug_de-angelis_901,﻿Rev.,﻿Aug. de Angelis,,,,,,,,1834,,﻿,﻿,﻿New Orleans,NewOrleans
﻿new.la.9005,﻿church,not recorded,English,,,,﻿St. Helena Parish,﻿St. Helena Parish,,,﻿LA,﻿LA,,,,,,,,,,,,,,,,1834,,﻿,﻿,﻿New Orleans,NewOrleans
﻿new.la.9006,﻿church,not recorded,English,,,,﻿St. Johns Parish,﻿St. John the Baptist Parish,,,﻿LA,﻿LA,,,,,,,,,,,,,,,,1834,,﻿,﻿,﻿New Orleans,NewOrleans
﻿new.la.0072,﻿church,not recorded,English,,﻿W. bank of Miss.,,﻿St. James Parish,﻿St. James Parish,,﻿St. James,﻿LA,﻿LA,30.01591994,-90.84262784,,,,,,,,,﻿vacant,,,,,1834,﻿https://www.canecatholics.com/st-james,﻿,﻿,﻿New Orleans,NewOrleans
﻿new.la.0080,﻿church,﻿St. Joseph's,English,,,,,﻿Lafourche Parish,﻿Thibadeauxville,﻿Thibodaux,﻿LA,﻿LA,29.79346434,-90.81966683,,,,﻿j_andizio_901,﻿Rev.,﻿J. Andizio,,,,,,,,1834,﻿https://stjoseph-cc.org/history-1,﻿,﻿,﻿New Orleans,NewOrleans
﻿new.la.0078,﻿church,﻿St. Martin de Tours,English,,,,﻿Attakapas Parish,﻿St. Martin Parish,﻿St. Martinsville,﻿St. Martinville,﻿LA,﻿LA,30.12305334,-91.82877797,,,,,,,,,,,,,,1834,﻿https://saintmartindetours.org/about-us,﻿,﻿,﻿New Orleans,NewOrleans
﻿new.la.0108,﻿church,﻿St. Michaels,English,,﻿E. bank,,,﻿St. James Parish,,﻿Convent,﻿LA,﻿LA,30.00991905,-90.82733222,,,,﻿cha_d_croix_901,﻿Rev.,﻿Chas. de la Croix,,,,,,,,1834,﻿https://diobr.org/st-michael-the-archangel-convent |  http://louisianeacadien.com/acadiachurches.html,﻿,﻿,﻿New Orleans,NewOrleans
