instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,courses,Unnamed: 32,Unnamed: 33,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stl.mo.0001,﻿church,﻿Cathedral of St. Louis,﻿English and French,﻿Sermon and Catechism every Sunday,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,﻿MO,38.64254815,-90.25465453,,,,﻿jos_rosati_901,﻿Right Rev.,﻿Joseph Rosati,﻿D. D.,,,,,,,1838,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral of St. Louis,﻿English and French,﻿Sermon and Catechism every Sunday,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.64254815,-90.25465453,,,,﻿jos_a_lutz_901,﻿Rev.,﻿Joseph A. Lutz,,,,,,,,1838,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral of St. Louis,﻿English and French,﻿Sermon and Catechism every Sunday,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.64254815,-90.25465453,,,,﻿jam_fontbonne_901,﻿Rev.,﻿James Fontbonne,,,,,,,,1838,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral of St. Louis,﻿English and French,﻿Sermon and Catechism every Sunday,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.64254815,-90.25465453,,,,﻿fra_b_jamison_902,﻿Rev.,﻿Francis B. Jamison,,,,,,,,1838,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral of St. Louis,﻿English and French,﻿Sermon and Catechism every Sunday,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.64254815,-90.25465453,,,,﻿joh_p_fischer_901,﻿Rev.,﻿John Peter Fischer,,,,,,,,1838,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0148_02,﻿chapel,﻿Chapel of the University,English,﻿Sermon in English,﻿St. Louis University,,,,﻿St. Louis,,﻿MO,,,,,﻿attended by the Rev. gentlemen of the institution,,,,,,,,,,,,1838,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9008_03,﻿chapel,﻿Chapel of the Convent of the Sacred Heart,English,,,,,,,,,,,,,﻿attended by the Rev. gentlemen of the city,,,,,,,,,,,,1838,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9032_02,﻿chapel,﻿Chapel of St. Vincent of Paul,English,﻿at the Hospital,,,,,,,,,,,,﻿attended by the same,,,,,,,,,,,,1838,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0148_03,﻿chapel,﻿Chapel of St. Francis Xavier,﻿at the University Farm,,﻿three miles from St. Louis,,,,,,,,,,,,,﻿jam_busschotts_001,﻿Rev.,﻿James G. Busschots,﻿S. J.,,,,,,,1838,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0037,﻿church,﻿St. Joseph's,"﻿Every Sunday in English, occasionally in German",,﻿Apple Creek settlement,,,﻿Perry County,,﻿Apple Creek,﻿MO,﻿MO,37.61339343,-89.75142333,,,,﻿jos_wiseman_901,﻿Rev.,﻿Joseph Wiseman,,,,,,,,1838,﻿https://www.archstl.org/parish/st-joseph-apple-creek/,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9007_02,﻿church,﻿St. Mary's,﻿Sermon in English,,,,﻿Perry County,,﻿Barrens,,﻿MO,,,,,,,﻿bla_j_raho_901,﻿Rev.,﻿Blasius J. Raho,﻿C. M.,,,,,,,1838,﻿Likely the church at St. Mary's College,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0046,﻿church,﻿St. Vincent of Paul,﻿Sermon in English,,,,﻿Girardeau County,,﻿Cape Girardeau,﻿Cape Girardeau,﻿MO,,,,,﻿attended from St. Mary's Seminary,,﻿joh_rosati_901,﻿Rev.,﻿John Rosti,﻿C.M.,,﻿assisted from St. Mary's Seminary,,,,,1838,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9000,﻿church,﻿Our Lady of Mount Carmel,﻿Sermon in French and occasionally English,,,,﻿St. Louis County,﻿St. Louis County,﻿Carondelet,﻿St. Louis,﻿MO,﻿MO,38.5579011,-90.24998076,,,,﻿e_saulnier_001,﻿Rev.,﻿Edmund Saulnier,,,,,,,,1838,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0149_02,﻿chapel,﻿Chapel of St. Stanislas,﻿Sermon in English,,﻿at the Novitiate of the Society of Jesus,,,,,,,,,,,,,﻿the_de-theux_901,﻿Rev.,﻿Theodore De Theux,﻿S.J.,,,,,,,1838,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9001,﻿church,﻿St. Peter's,﻿Sermon in English and German,,,,﻿St. Charles County,﻿St. Charles County,﻿Dardenne,﻿Dardenne Prairie,﻿MO,﻿MO,38.75765244,-90.74398902,,,﻿every fortnight,﻿c_w_waters_901,﻿Rev.,﻿C. W. Waters,﻿S.J.,,﻿This Gentleman attends a very large mission in the Upper Counties of the State,,,,,1838,"﻿https://en.wikipedia.org/wiki/Dardenne_Prairie,_Missouri ; https://genealogytrails.com/mo/stcharles/hist_towns.htm ; These sources say that the present church did not open until 1880, so it is hard to say where this church actually was",,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0062,﻿church,﻿St. Ferdinand's,"﻿Sermon, one Sunday in English, the other in French",,,,,﻿St. Louis County,﻿Florissant,﻿Florissant,﻿MO,﻿MO,38.80672647,-90.35444261,,,,﻿jud_f_van-assche_001,﻿Rev.,﻿Judocus Van Assche,﻿S.J.,,,,,,,1838,﻿https://www.stferdinandstl.org/history,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0066,﻿church,﻿St. Michael's,﻿Sermon in English and French,,,,﻿Madison County,﻿Madison County,﻿Frederick Town,﻿Fredericktown,﻿MO,﻿MO,37.56005085,-90.29888383,,,,﻿fra_cellini_901,﻿Rev.,﻿Francis Celini,,,,,,,,1838,﻿https://stmichaelfredericktown.com/history,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9033,﻿station,not recorded,English,,,,,,﻿Manchester,,﻿MO,,,,,,,,,,,,,,,,,1838,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9002,﻿church,﻿St. Peter's Church,﻿Sermon in English,,﻿Gravois Settlement,,,﻿Morgan County,,﻿Gravois Mill,﻿MO,﻿MO,38.30918822,-92.82273654,,,﻿[visited] once a month [by] Rev. Francis B. Jamison,﻿fra_b_jamison_902,﻿Rev.,﻿Francis B. Jamison,,,,,,,,1838,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9034,﻿station,not recorded,English,,﻿Westphalia Settlement,,﻿Gasconade County,,,,﻿MO,,,,,,﻿attended twice a year by the Rev. Clergy of St. Charles,,,,,,,,,,,1838,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9035,﻿station,not recorded,English,,﻿Mary Creek,,﻿Gasconade County,,,,﻿MO,,,,,,﻿attended twice a year by the Rev. Clergy of St. Charles,,,,,,,,,,,1838,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9036,﻿station,not recorded,English,,,,﻿Montgomery County,,﻿New Boston,,﻿MO,,,,,,﻿attended twice a year by the Rev. Clergy of St. Charles,,,,,,,,,,,1838,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9037,﻿station,not recorded,English,﻿church to be built,,,﻿Boone County,,﻿Rocheport,,﻿MO,,,,,,﻿attended twice a year by the Rev. Clergy of St. Charles,,,,,,,,,,,1838,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9038,﻿station,not recorded,English,,,,,,﻿Fayette,,﻿MO,,,,,,﻿attended twice a year by the Rev. Clergy of St. Charles,,,,,,,,,,,1838,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9039,﻿station,not recorded,English,,,,,,﻿Franklin,,﻿MO,,,,,,﻿attended twice a year by the Rev. Clergy of St. Charles,,,,,,,,,,,1838,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0042,﻿station,not recorded,English,,,,,,﻿Booneville,,﻿MO,,,,,,﻿attended twice a year by the Rev. Clergy of St. Charles,,,,,,,,,,,1838,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0054,﻿station,not recorded,English,,,,,,﻿Columbia,,﻿MO,,,,,,﻿attended twice a year by the Rev. Clergy of St. Charles,,,,,,,,,,,1838,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0080,﻿station,not recorded,English,,,,,,﻿Jefferson,,﻿MO,,,,,,﻿attended twice a year by the Rev. Clergy of St. Charles,,,,,,,,,,,1838,﻿https://www.saintpeterjc.org/history/,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9040,﻿station,not recorded,English,,,,,,﻿Fulton,,﻿MO,,,,,,﻿attended twice a year by the Rev. Clergy of St. Charles,,,,,,,,,,,1838,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9041,﻿station,not recorded,English,,﻿Lay Creek,,,,,,﻿MO,,,,,,﻿attended twice a year by the Rev. Clergy of St. Charles,,,,,,,,,,,1838,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9042,﻿station,not recorded,English,,,,,,﻿Burbus,,﻿MO,,,,,,﻿attended twice a year by the Rev. Clergy of St. Charles,,,,,,,,,,,1838,,,,,﻿,﻿,﻿St. Louis,StLouis
